03110000000,04 - SEREGNO,10 VOLTE MEGLIO,526
03120000000,05 - MONZA,10 VOLTE MEGLIO,463
03130000000,06 - GORGONZOLA,10 VOLTE MEGLIO,467
03210000000,03 - BOLLATE,10 VOLTE MEGLIO,464
03220000000,07 - CINISELLO BALSAMO,10 VOLTE MEGLIO,281
03230000000,09 - MILANO - SESTO SAN GIOVANNI,10 VOLTE MEGLIO,316
03240000000,10 - COLOGNO MONZESE,10 VOLTE MEGLIO,432
03310000000,08 - MILANO AREA STATISTICA 117,10 VOLTE MEGLIO,287
03320000000,11 - MILANO AREA STATISTICA 74,10 VOLTE MEGLIO,540
03330000000,12 - MILANO AREA STATISTICA 84,10 VOLTE MEGLIO,523
03340000000,13 - MILANO AREA STATISTICA 105,10 VOLTE MEGLIO,517
03350000000,14 - MILANO AREA STATISTICA 144,10 VOLTE MEGLIO,366
03410000000,01 - ABBIATEGRASSO,10 VOLTE MEGLIO,420
03420000000,02 - LEGNANO,10 VOLTE MEGLIO,455
03430000000,15 - ROZZANO,10 VOLTE MEGLIO,429
04110000000,02 - VARESE,10 VOLTE MEGLIO,329
04120000000,03 - GALLARATE,10 VOLTE MEGLIO,410
04130000000,04 - BUSTO ARSIZIO,10 VOLTE MEGLIO,422
04210000000,01 - SONDRIO,10 VOLTE MEGLIO,213
04220000000,05 - COMO,10 VOLTE MEGLIO,566
04230000000,06 - CANTÙ,10 VOLTE MEGLIO,398
04240000000,07 - MERATE,10 VOLTE MEGLIO,318
04250000000,08 - LECCO,10 VOLTE MEGLIO,299
05110000000,01 - BRESCIA,10 VOLTE MEGLIO,277
05120000000,02 - LUMEZZANE,10 VOLTE MEGLIO,386
05130000000,03 - DESENZANO DEL GARDA,10 VOLTE MEGLIO,287
05140000000,04 - PALAZZOLO SULL'OGLIO,10 VOLTE MEGLIO,311
06110000000,01 - VIGEVANO,10 VOLTE MEGLIO,301
06120000000,02 - PAVIA,10 VOLTE MEGLIO,389
06130000000,03 - LODI,10 VOLTE MEGLIO,351
07110000000,01 - VENEZIA,10 VOLTE MEGLIO,371
07120000000,02 - SAN DONA' DI PIAVE,10 VOLTE MEGLIO,445
07130000000,03 - CHIOGGIA,10 VOLTE MEGLIO,423
07140000000,04 - CASTELFRANCO VENETO,10 VOLTE MEGLIO,504
07210000000,05 - MONTEBELLUNA,10 VOLTE MEGLIO,445
07220000000,06 - CONEGLIANO,10 VOLTE MEGLIO,527
07230000000,07 - BELLUNO,10 VOLTE MEGLIO,362
07240000000,08 - TREVISO,10 VOLTE MEGLIO,873
08110000000,02 - PADOVA,10 VOLTE MEGLIO,721
08120000000,03 - VIGONZA,10 VOLTE MEGLIO,702
08130000000,04 - ABANO TERME,10 VOLTE MEGLIO,562
08210000000,05 - VICENZA,10 VOLTE MEGLIO,619
08220000000,06 - BASSANO DEL GRAPPA,10 VOLTE MEGLIO,603
08230000000,07 - SCHIO,10 VOLTE MEGLIO,515
08310000000,01 - ROVIGO,10 VOLTE MEGLIO,272
08320000000,08 - SAN BONIFACIO,10 VOLTE MEGLIO,586
08330000000,09 - VERONA,10 VOLTE MEGLIO,1179
08340000000,10 - LEGNAGO,10 VOLTE MEGLIO,319
08350000000,11 - VILLAFRANCA DI VERONA,10 VOLTE MEGLIO,557
09110000000,01 - TRIESTE,10 VOLTE MEGLIO,279
09120000000,02 - GORIZIA,10 VOLTE MEGLIO,232
09130000000,03 - UDINE,10 VOLTE MEGLIO,559
09140000000,04 - CODROIPO,10 VOLTE MEGLIO,371
09150000000,05 - PORDENONE,10 VOLTE MEGLIO,488
10110000000,01 - SANREMO,10 VOLTE MEGLIO,333
10120000000,02 - SAVONA,10 VOLTE MEGLIO,338
10130000000,03 - GENOVA - UNITA' URBANISTICA SESTRI,10 VOLTE MEGLIO,262
10210000000,04 - GENOVA - UNITÀ URBANISTICA SAN FRUTTUOSO,10 VOLTE MEGLIO,272
10220000000,05 - GENOVA - RAPALLO,10 VOLTE MEGLIO,411
10230000000,06 - LA SPEZIA,10 VOLTE MEGLIO,228
13110000000,01 - PERUGIA,10 VOLTE MEGLIO,379
13120000000,02 - FOLIGNO,10 VOLTE MEGLIO,378
13130000000,03 - TERNI,10 VOLTE MEGLIO,252
15110000000,01 - ROMA - QUARTIERE TRIONFALE,10 VOLTE MEGLIO,372
15120000000,02 - ROMA - QUARTIERE MONTESACRO,10 VOLTE MEGLIO,512
15130000000,03 - ROMA - ZONA CASTEL GIUBILEO,10 VOLTE MEGLIO,354
15140000000,04 - ROMA - QUARTIERE COLLATINO,10 VOLTE MEGLIO,277
15150000000,05 - ROMA - ZONA TORRE ANGELA,10 VOLTE MEGLIO,415
15210000000,06 - ROMA - QUARTIERE TUSCOLANO,10 VOLTE MEGLIO,196
15220000000,08 - ROMA - QUARTIERE ARDEATINO,10 VOLTE MEGLIO,340
15230000000,09 - ROMA - FIUMICINO,10 VOLTE MEGLIO,267
15240000000,10 - ROMA - QUARTIERE GIANICOLENSE,10 VOLTE MEGLIO,266
15250000000,11 - ROMA - QUARTIERE PRIMAVALLE,10 VOLTE MEGLIO,226
17110000000,03 - PESCARA,10 VOLTE MEGLIO,376
17120000000,04 - CHIETI,10 VOLTE MEGLIO,222
17130000000,05 - VASTO,10 VOLTE MEGLIO,204
17210000000,01 - L'AQUILA,10 VOLTE MEGLIO,275
17220000000,02 - TERAMO,10 VOLTE MEGLIO,239
20110000000,01 - BENEVENTO,10 VOLTE MEGLIO,551
20120000000,02 - ARIANO IRPINO,10 VOLTE MEGLIO,211
20130000000,06 - AVELLINO,10 VOLTE MEGLIO,150
20310000000,07 - SCAFATI,10 VOLTE MEGLIO,136
20320000000,08 - SALERNO,10 VOLTE MEGLIO,165
20330000000,09 - BATTIPAGLIA,10 VOLTE MEGLIO,123
20340000000,10 - AGROPOLI,10 VOLTE MEGLIO,161
21110000000,01 - BARI - CIRCOSCRIZIONE 8 LIBERTÀ-MARCONI-SAN GIROLAMO-FESCA,10 VOLTE MEGLIO,275
21120000000,02 - BARI - BITONTO,10 VOLTE MEGLIO,298
21130000000,03 - MOLFETTA,10 VOLTE MEGLIO,190
21140000000,05 - ALTAMURA,10 VOLTE MEGLIO,183
21210000000,07 - LECCE,10 VOLTE MEGLIO,188
21220000000,08 - NARDÒ,10 VOLTE MEGLIO,185
21230000000,09 - CASARANO,10 VOLTE MEGLIO,190
