01110000000,PARTITO DEMOCRATICO,34629
01110000000,+EUROPA,13517
01110000000,ITALIA EUROPA INSIEME,882
01110000000,CIVICA POPOLARE LORENZIN,626
01110000000,LEGA,16350
01110000000,FORZA ITALIA,15595
01110000000,FRATELLI D'ITALIA CON GIORGIA MELONI,5237
01110000000,NOI CON L'ITALIA - UDC,770
01110000000,MOVIMENTO 5 STELLE,20783
01110000000,LIBERI E UGUALI,7997
01110000000,POTERE AL POPOLO!,2794
01110000000,CASAPOUND ITALIA,1046
01110000000,IL POPOLO DELLA FAMIGLIA,821
01110000000,PARTITO VALORE UMANO,259
01120000000,LEGA,21199
01120000000,FORZA ITALIA,11897
01120000000,FRATELLI D'ITALIA CON GIORGIA MELONI,2953
01120000000,NOI CON L'ITALIA - UDC,672
01120000000,MOVIMENTO 5 STELLE,29284
01120000000,PARTITO DEMOCRATICO,22387
01120000000,+EUROPA,3614
01120000000,CIVICA POPOLARE LORENZIN,355
01120000000,ITALIA EUROPA INSIEME,337
01120000000,LIBERI E UGUALI,4472
01120000000,POTERE AL POPOLO!,1363
01120000000,CASAPOUND ITALIA,1199
01120000000,IL POPOLO DELLA FAMIGLIA,609
01120000000,PARTITO VALORE UMANO,317
01130000000,LEGA,20341
01130000000,FORZA ITALIA,15039
01130000000,FRATELLI D'ITALIA CON GIORGIA MELONI,5029
01130000000,NOI CON L'ITALIA - UDC,661
01130000000,PARTITO DEMOCRATICO,31973
01130000000,+EUROPA,7702
01130000000,ITALIA EUROPA INSIEME,655
01130000000,CIVICA POPOLARE LORENZIN,581
01130000000,MOVIMENTO 5 STELLE,30018
01130000000,LIBERI E UGUALI,6758
01130000000,POTERE AL POPOLO!,1975
01130000000,CASAPOUND ITALIA,1212
01130000000,IL POPOLO DELLA FAMIGLIA,872
01130000000,PARTITO VALORE UMANO,369
01140000000,PARTITO DEMOCRATICO,31236
01140000000,+EUROPA,5520
01140000000,ITALIA EUROPA INSIEME,561
01140000000,CIVICA POPOLARE LORENZIN,543
01140000000,LEGA,19046
01140000000,FORZA ITALIA,12716
01140000000,FRATELLI D'ITALIA CON GIORGIA MELONI,4236
01140000000,NOI CON L'ITALIA - UDC,547
01140000000,MOVIMENTO 5 STELLE,31423
01140000000,LIBERI E UGUALI,5877
01140000000,POTERE AL POPOLO!,1346
01140000000,CASAPOUND ITALIA,1163
01140000000,IL POPOLO DELLA FAMIGLIA,736
01140000000,PARTITO VALORE UMANO,304
01150000000,MOVIMENTO 5 STELLE,58659
01150000000,LEGA,30047
01150000000,FORZA ITALIA,17781
01150000000,FRATELLI D'ITALIA CON GIORGIA MELONI,5455
01150000000,NOI CON L'ITALIA - UDC,629
01150000000,PARTITO DEMOCRATICO,39007
01150000000,+EUROPA,5923
01150000000,ITALIA EUROPA INSIEME,711
01150000000,CIVICA POPOLARE LORENZIN,619
01150000000,LIBERI E UGUALI,8358
01150000000,POTERE AL POPOLO!,1717
01150000000,CASAPOUND ITALIA,1634
01150000000,IL POPOLO DELLA FAMIGLIA,1181
01150000000,PARTITO VALORE UMANO,502
01210000000,LEGA,38122
01210000000,FORZA ITALIA,19443
01210000000,FRATELLI D'ITALIA CON GIORGIA MELONI,5871
01210000000,NOI CON L'ITALIA - UDC,688
01210000000,MOVIMENTO 5 STELLE,39128
01210000000,PARTITO DEMOCRATICO,29113
01210000000,+EUROPA,5501
01210000000,ITALIA EUROPA INSIEME,669
01210000000,CIVICA POPOLARE LORENZIN,559
01210000000,LIBERI E UGUALI,5392
01210000000,CASAPOUND ITALIA,2017
01210000000,POTERE AL POPOLO!,1634
01210000000,IL POPOLO DELLA FAMIGLIA,1232
01210000000,PARTITO VALORE UMANO,795
01220000000,LEGA,35982
01220000000,FORZA ITALIA,20995
01220000000,FRATELLI D'ITALIA CON GIORGIA MELONI,5900
01220000000,NOI CON L'ITALIA - UDC,1642
01220000000,MOVIMENTO 5 STELLE,54698
01220000000,PARTITO DEMOCRATICO,37594
01220000000,+EUROPA,7052
01220000000,CIVICA POPOLARE LORENZIN,788
01220000000,ITALIA EUROPA INSIEME,678
01220000000,LIBERI E UGUALI,6774
01220000000,POTERE AL POPOLO!,1919
01220000000,CASAPOUND ITALIA,1820
01220000000,IL POPOLO DELLA FAMIGLIA,886
01220000000,PARTITO VALORE UMANO,633
01230000000,LEGA,30692
01230000000,FORZA ITALIA,19432
01230000000,FRATELLI D'ITALIA CON GIORGIA MELONI,5318
01230000000,NOI CON L'ITALIA - UDC,919
01230000000,MOVIMENTO 5 STELLE,48622
01230000000,PARTITO DEMOCRATICO,30882
01230000000,+EUROPA,5719
01230000000,ITALIA EUROPA INSIEME,637
01230000000,CIVICA POPOLARE LORENZIN,568
01230000000,LIBERI E UGUALI,5059
01230000000,POTERE AL POPOLO!,1532
01230000000,CASAPOUND ITALIA,1491
01230000000,IL POPOLO DELLA FAMIGLIA,1090
01230000000,PARTITO VALORE UMANO,404
01240000000,LEGA,32781
01240000000,FORZA ITALIA,21714
01240000000,FRATELLI D'ITALIA CON GIORGIA MELONI,5741
01240000000,NOI CON L'ITALIA - UDC,932
01240000000,MOVIMENTO 5 STELLE,51480
01240000000,PARTITO DEMOCRATICO,29471
01240000000,+EUROPA,5977
01240000000,ITALIA EUROPA INSIEME,671
01240000000,CIVICA POPOLARE LORENZIN,667
01240000000,LIBERI E UGUALI,6900
01240000000,POTERE AL POPOLO!,2940
01240000000,CASAPOUND ITALIA,1742
